# Chua circuit — regime 1: fixed_point
time_ms,x_V,y_V,z_V
30734.016,-1.2705,0.0836,0.1484
30734.047,-1.2692,0.0836,0.1508
30734.076,-1.2692,0.0849,0.1532
30734.105,-1.2680,0.0812,0.1532
30734.137,-1.2680,0.0836,0.1520
30734.166,-1.2692,0.0849,0.1520
30734.195,-1.2692,0.0849,0.1508
30734.227,-1.2705,0.0824,0.1508
30734.256,-1.2717,0.0812,0.1496
30734.285,-1.2692,0.0836,0.1520
30734.316,-1.2705,0.0836,0.1508
30734.346,-1.2692,0.0836,0.1496
30734.377,-1.2692,0.0836,0.1508
30734.406,-1.2692,0.0812,0.1520
30734.436,-1.2680,0.0849,0.1520
30734.467,-1.2705,0.0849,0.1520
30734.496,-1.2680,0.0849,0.1520
30734.525,-1.2692,0.0849,0.1520
30734.557,-1.2692,0.0836,0.1508
30734.586,-1.2680,0.0849,0.1532
30734.615,-1.2692,0.0849,0.1520
30734.646,-1.2692,0.0849,0.1532
30734.676,-1.2692,0.0836,0.1508
30734.705,-1.2692,0.0836,0.1508
30734.736,-1.2692,0.0849,0.1508
30734.766,-1.2705,0.0849,0.1532
30734.797,-1.2680,0.0849,0.1532
30734.826,-1.2705,0.0861,0.1545
30734.855,-1.2692,0.0849,0.1545
30734.887,-1.2692,0.0861,0.1532
30734.916,-1.2692,0.0861,0.1545
30734.945,-1.2680,0.0885,0.1532
30734.977,-1.2680,0.0849,0.1532
30735.006,-1.2668,0.0849,0.1520
30735.035,-1.2692,0.0836,0.1532
30735.066,-1.2692,0.0714,0.1654
30735.096,-1.2692,0.0861,0.1496
30735.127,-1.2692,0.0800,0.1532
30735.156,-1.2692,0.0763,0.1520
30735.186,-1.2680,0.0849,0.1520
30735.217,-1.2717,0.0849,0.1496
30735.246,-1.2692,0.0824,0.1508
30735.275,-1.2692,0.0849,0.1508
30735.307,-1.2790,0.0861,0.1532
30735.336,-1.2692,0.0836,0.1520
30735.365,-1.2692,0.0836,0.1508
30735.396,-1.2680,0.0836,0.1484
30735.426,-1.2705,0.0849,0.1532
30735.455,-1.2692,0.0849,0.1508
30735.486,-1.2668,0.0849,0.1508
30735.516,-1.2692,0.0861,0.1532
30735.547,-1.2692,0.0836,0.1532
30735.576,-1.2680,0.0861,0.1508
30735.605,-1.2705,0.0836,0.1508
30735.637,-1.2692,0.0836,0.1532
30735.666,-1.2692,0.0861,0.1532
30735.695,-1.2680,0.0849,0.1532
30735.727,-1.2680,0.0836,0.1508
30735.756,-1.2705,0.0836,0.1520
30735.785,-1.2692,0.0849,0.1532
30735.816,-1.2692,0.0849,0.1520
30735.846,-1.2692,0.0849,0.1520
30735.877,-1.2692,0.0824,0.1520
30735.906,-1.2680,0.0849,0.1545
30735.936,-1.2680,0.0861,0.1532
30735.967,-1.2692,0.0849,0.1532
30735.996,-1.2692,0.0836,0.1520
30736.025,-1.2705,0.0836,0.1508
