# Chua circuit — regime 1: fixed_point
time_ms,x_V,y_V,z_V
109963.102,-1.2631,0.1056,0.1716
109963.148,-1.2643,0.1032,0.1716
109963.203,-1.2619,0.1032,0.1764
109963.258,-1.2582,0.1093,0.1789
109963.305,-1.2582,0.1129,0.1777
109963.352,-1.2607,0.1105,0.1764
109963.406,-1.2607,0.1056,0.1764
109963.453,-1.2607,0.1020,0.1728
109963.508,-1.2619,0.1056,0.1740
109963.555,-1.2619,0.1068,0.1764
109963.602,-1.2607,0.1081,0.1789
109963.656,-1.2595,0.1081,0.1740
109963.703,-1.2631,0.1044,0.1728
109963.750,-1.2619,0.1068,0.1728
109963.805,-1.2631,0.1020,0.1740
109963.859,-1.2595,0.1056,0.1764
109963.906,-1.2619,0.1081,0.1752
109963.953,-1.2619,0.1093,0.1752
109964.000,-1.2607,0.1068,0.1740
109964.055,-1.2619,0.1020,0.1740
109964.102,-1.2595,0.1068,0.1740
109964.148,-1.2619,0.1093,0.1777
109964.211,-1.2607,0.1105,0.1789
109964.258,-1.2582,0.1081,0.1764
109964.305,-1.2619,0.1032,0.1716
109964.352,-1.2619,0.1056,0.1728
109964.398,-1.2631,0.1068,0.1752
109964.453,-1.2607,0.1056,0.1777
109964.508,-1.2582,0.1068,0.1764
109964.555,-1.2607,0.1068,0.1752
109964.609,-1.2607,0.1105,0.1752
109964.656,-1.2619,0.1032,0.1728
109964.703,-1.2619,0.1044,0.1740
109964.750,-1.2607,0.1056,0.1740
109964.797,-1.2619,0.1068,0.1752
109964.859,-1.2607,0.1105,0.1740
109964.906,-1.2619,0.1032,0.1752
109964.953,-1.2607,0.1020,0.1703
109965.008,-1.2619,0.1056,0.1740
109965.055,-1.2607,0.1081,0.1740
109965.102,-1.2607,0.1044,0.1764
109965.148,-1.2631,0.1068,0.1752
109965.203,-1.2582,0.1020,0.1813
109965.258,-1.2619,0.1056,0.1716
109965.305,-1.2619,0.1044,0.1752
109965.352,-1.2619,0.1081,0.1752
109965.406,-1.2595,0.1068,0.1752
109965.453,-1.2595,0.1081,0.1752
109965.508,-1.2631,0.1032,0.1728
109965.555,-1.2619,0.1032,0.1752
109965.602,-1.2619,0.1056,0.1728
109965.656,-1.2619,0.1044,0.1740
109965.703,-1.2619,0.1081,0.1777
109965.750,-1.2595,0.1044,0.1752
109965.805,-1.2607,0.1056,0.1740
109965.859,-1.2607,0.1032,0.1740
109965.906,-1.2607,0.1068,0.1752
109965.953,-1.2619,0.1068,0.1777
109966.000,-1.2595,0.1068,0.1764
109966.055,-1.2607,0.1068,0.1728
109966.102,-1.2607,0.1056,0.1740
109966.148,-1.2619,0.1081,0.1740
109966.211,-1.2619,0.1056,0.1777
109966.258,-1.2607,0.1044,0.1740
109966.305,-1.2607,0.1056,0.1752
109966.352,-1.2607,0.1093,0.1752
109966.398,-1.2619,0.1056,0.1764
109966.453,-1.2607,0.1056,0.1764
109966.508,-1.2619,0.1044,0.1728
109966.555,-1.2607,0.1105,0.1752
109966.609,-1.2619,0.1068,0.1752
109966.656,-1.2619,0.1044,0.1752
109966.703,-1.2607,0.1081,0.1752
109966.750,-1.2619,0.1081,0.1752
109966.797,-1.2607,0.1081,0.1740
109966.859,-1.2619,0.1032,0.1764
109966.906,-1.2607,0.1032,0.1740
109966.953,-1.2607,0.1068,0.1740
109967.008,-1.2619,0.1105,0.1764
109967.055,-1.2619,0.1044,0.1764
109967.102,-1.2607,0.1081,0.1752
109967.148,-1.2619,0.1056,0.1728
109967.203,-1.2607,0.1068,0.1752
109967.258,-1.2607,0.1032,0.1752
109967.305,-1.2607,0.1068,0.1508
109967.352,-1.2595,0.1117,0.1764
109967.406,-1.2607,0.1056,0.1789
109967.453,-1.2619,0.1068,0.1728
109967.508,-1.2607,0.1056,0.1752
109967.555,-1.2607,0.1044,0.1728
109967.602,-1.2631,0.1081,0.1740
109967.656,-1.2631,0.1105,0.1764
109967.703,-1.2656,0.1081,0.1740
109967.750,-1.2607,0.1056,0.1752
109967.805,-1.2631,0.1068,0.1740
109967.859,-1.2619,0.1093,0.1777
109967.906,-1.2582,0.1056,0.1789
109967.953,-1.2607,0.1056,0.1764
109968.000,-1.2595,0.1081,0.1764
109968.055,-1.2631,0.1081,0.1740
109968.102,-1.2607,0.1056,0.1764
109968.148,-1.2607,0.1056,0.1740
109968.211,-1.2607,0.1068,0.1740
109968.258,-1.2595,0.1105,0.1764
109968.305,-1.2631,0.1081,0.1764
109968.352,-1.2607,0.1056,0.1752
109968.398,-1.2619,0.1068,0.1716
109968.453,-1.2607,0.1068,0.1716
109968.508,-1.2607,0.1081,0.1777
109968.555,-1.2595,0.1093,0.1777
109968.609,-1.2607,0.1056,0.1752
109968.656,-1.2607,0.1068,0.1752
109968.703,-1.2631,0.1068,0.1740
109968.750,-1.2631,0.1032,0.1764
109968.797,-1.2595,0.1056,0.1752
109968.859,-1.2595,0.1068,0.1764
109968.906,-1.2595,0.1093,0.1777
109968.953,-1.2619,0.1068,0.1777
109969.008,-1.2619,0.1044,0.1728
109969.055,-1.2607,0.1044,0.1728
109969.102,-1.2619,0.1081,0.1789
109969.148,-1.2595,0.1105,0.1813
109969.203,-1.2570,0.1081,0.1777
109969.258,-1.2607,0.1044,0.1740
109969.305,-1.2595,0.1044,0.1728
109969.352,-1.2631,0.1044,0.1752
109969.406,-1.2607,0.1056,0.1764
109969.453,-1.2595,0.1093,0.1777
109969.508,-1.2619,0.1093,0.1752
109969.555,-1.2607,0.1056,0.1740
109969.602,-1.2607,0.1044,0.1764
109969.656,-1.2619,0.1032,0.1716
109969.703,-1.2631,0.1068,0.1740
109969.750,-1.2607,0.1093,0.1740
109969.805,-1.2607,0.1081,0.1764
109969.859,-1.2595,0.1056,0.1752
109969.906,-1.2619,0.1032,0.1728
109969.953,-1.2607,0.1056,0.1752
109970.000,-1.2607,0.1081,0.1801
109970.055,-1.2595,0.1081,0.1777
109970.102,-1.2595,0.1093,0.1777
109970.148,-1.2607,0.1068,0.1716
109970.211,-1.2631,0.1032,0.1716
109970.258,-1.2619,0.1032,0.1764
109970.305,-1.2619,0.1056,0.1728
109970.352,-1.2619,0.1081,0.1777
109970.398,-1.2619,0.1068,0.1777
109970.453,-1.2619,0.1044,0.1752
109970.508,-1.2607,0.1068,0.1752
