# Chua circuit — regime 2: limit_cycle
time_ms,x_V,y_V,z_V
121397.953,-1.8468,-0.1007,0.2228
121398.000,-1.6453,0.3596,0.5122
121398.055,-0.7027,0.3205,0.1422
121398.102,-0.8162,-0.1386,-0.1789
121398.148,-1.7833,-0.1422,0.1654
121398.211,-1.7344,0.3205,0.5134
121398.258,-0.7784,0.3559,0.1996
121398.305,-0.7308,-0.0958,-0.1740
121398.352,-1.6990,-0.1764,0.1081
121398.398,-1.8114,0.2766,0.5049
121398.453,-0.8675,0.3889,0.2521
121398.508,-0.6612,-0.0519,-0.1630
121398.555,-1.6013,-0.2045,0.0519
121398.609,-1.8724,0.2265,0.4866
121398.656,-0.9310,0.4048,0.2924
121398.703,-0.6209,-0.0201,-0.1496
121398.750,-1.5330,-0.2179,0.0165
121398.797,-1.9078,0.1923,0.4744
121398.859,-1.0360,0.4231,0.3437
121398.906,-0.5794,0.0336,-0.1215
121398.953,-1.4267,-0.2302,-0.0324
121399.008,-1.9420,0.1398,0.4426
121399.055,-1.1459,0.4316,0.3877
121399.102,-0.5623,0.0885,-0.0873
121399.148,-1.3120,-0.2302,-0.0739
121399.203,-1.9554,0.0824,0.4048
121399.258,-1.2595,0.4280,0.4316
121399.305,-0.5635,0.1264,-0.0580
121399.352,-1.2350,-0.2302,-0.1007
121399.406,-1.9542,0.0458,0.3742
121399.453,-1.3376,0.4255,0.4536
121399.508,-0.5757,0.1789,-0.0140
121399.555,-1.1215,-0.2216,-0.1337
121399.602,-1.9359,-0.0079,0.3266
121399.656,-1.4463,0.4133,0.4792
121399.703,-0.6038,0.2289,0.0360
121399.750,-1.0092,-0.2033,-0.1581
121399.805,-1.9017,-0.0592,0.2741
121399.859,-1.5513,0.3877,0.5000
121399.906,-0.6551,0.2790,0.0934
121399.953,-0.9054,-0.1728,-0.1703
121400.000,-1.8675,-0.0861,0.2338
121400.055,-1.6184,0.3669,0.5085
121400.102,-0.6856,0.3071,0.1288
121400.148,-0.8419,-0.1496,-0.1789
121400.211,-1.8028,-0.1325,0.1801
121400.258,-1.7112,0.3315,0.5134
121400.305,-0.7576,0.3474,0.1825
121400.352,-0.7540,-0.1081,-0.1752
121400.398,-1.7234,-0.1667,0.1239
121400.453,-1.7906,0.2888,0.5085
121400.508,-0.8407,0.3803,0.2387
121400.555,-0.6795,-0.0653,-0.1654
121400.609,-1.6331,-0.1972,0.0665
121400.656,-1.8578,0.2546,0.4988
121400.703,-0.9042,0.4011,0.2766
121400.750,-0.6343,-0.0324,-0.1569
121400.797,-1.5623,-0.2106,0.0299
121400.859,-1.8956,0.2070,0.4805
121400.906,-1.0055,0.4170,0.3278
121400.953,-0.5904,0.0177,-0.1325
121401.008,-1.4585,-0.2277,-0.0226
121401.055,-1.9322,0.1545,0.4499
121401.102,-1.1105,0.4292,0.3730
121401.148,-0.5647,0.0714,-0.1007
121401.203,-1.3474,-0.2338,-0.0617
121401.258,-1.9530,0.1056,0.4206
121401.305,-1.2179,0.4341,0.4035
121401.352,-0.5610,0.1068,-0.0751
121401.406,-1.2741,-0.2326,-0.0885
121401.453,-1.9554,0.0641,0.3889
121401.508,-1.2949,0.4328,0.4414
121401.555,-0.5672,0.1606,-0.0324
121401.602,-1.1642,-0.2253,-0.1227
121401.656,-1.9457,0.0116,0.3462
121401.703,-1.4048,0.4194,0.4707
121401.750,-0.5916,0.2106,0.0189
121401.805,-1.0531,-0.2106,-0.1532
121401.859,-1.9188,-0.0336,0.2912
121401.906,-1.5098,0.3987,0.4939
121401.953,-0.6294,0.2570,0.0665
121402.000,-0.9847,-0.1984,-0.1630
121402.055,-1.8907,-0.0690,0.2656
121402.102,-1.5757,0.3816,0.5061
121402.148,-0.6538,0.2888,0.1044
121402.211,-0.8834,-0.1667,-0.1752
121402.258,-1.8419,-0.1105,0.2045
121402.305,-1.6709,0.3474,0.5110
121402.352,-0.7210,0.3266,0.1532
121402.398,-0.7955,-0.1300,-0.1789
121402.453,-1.7650,-0.1508,0.1532
121402.508,-1.7527,0.3144,0.5134
121402.555,-0.7943,0.3645,0.2094
121402.609,-0.7137,-0.0885,-0.1728
121402.656,-1.6819,-0.1728,0.1154
121402.703,-1.7991,0.2814,0.5049
121402.750,-0.8468,0.3877,0.2424
121402.797,-0.6734,-0.0604,-0.1642
121402.859,-1.6221,-0.1996,0.0629
121402.906,-1.8590,0.2387,0.4951
121402.953,-0.9420,0.4133,0.2998
121403.008,-0.6136,-0.0128,-0.1447
121403.055,-1.5232,-0.2179,0.0140
121403.102,-1.9090,0.1886,0.4707
121403.148,-1.0433,0.4206,0.3437
121403.203,-0.5794,0.0348,-0.1203
121403.258,-1.4206,-0.2302,-0.0348
121403.305,-1.9420,0.1361,0.4414
121403.352,-1.1117,0.4280,0.3755
121403.406,-0.5635,0.0714,-0.0995
121403.453,-1.3486,-0.2314,-0.0604
121403.508,-1.9518,0.1020,0.4182
121403.555,-1.2192,0.4316,0.4145
121403.602,-0.5623,0.1227,-0.0653
121403.656,-1.2448,-0.2314,-0.0995
121403.703,-1.9542,0.0495,0.3779
121403.750,-1.3254,0.4280,0.4499
