# Chua circuit — regime 3: period_doubled
time_ms,x_V,y_V,z_V
133036.547,-1.8797,0.2643,0.5195
133036.594,-0.8761,0.4670,0.3913
133036.641,-0.1508,0.1410,-0.0275
133036.703,-0.4670,-0.1740,-0.1764
133036.750,-1.6722,-0.1557,0.1032
133036.797,-1.7967,0.2424,0.4817
133036.844,-0.8980,0.4280,0.3608
133036.891,-0.3938,0.1020,-0.0568
133036.953,-1.1203,-0.2338,-0.1630
133037.000,-2.0006,-0.0763,0.2436
133037.047,-1.6575,0.3779,0.5549
133037.094,-0.6245,0.4206,0.2766
133037.156,-0.0824,0.0372,-0.1007
133037.203,-0.8419,-0.2167,-0.1471
133037.250,-1.8394,-0.0714,0.2216
133037.297,-1.6160,0.3388,0.5098
133037.359,-0.7088,0.3816,0.2631
133037.406,-0.4231,0.0055,-0.1276
133037.453,-1.3767,-0.2485,-0.0922
133037.500,-2.0458,0.0470,0.3718
133037.547,-1.3791,0.4536,0.5330
133037.594,-0.4292,0.3217,0.1484
133037.641,-0.1190,-0.0580,-0.1545
133037.703,-1.2009,-0.2277,-0.0800
133037.750,-1.9127,0.0397,0.3376
133037.797,-1.3767,0.4280,0.4792
133037.844,-0.5501,0.2998,0.1422
133037.891,-0.5916,-0.1068,-0.1789
133037.953,-1.6600,-0.2314,0.0055
133038.000,-2.0006,0.1654,0.4646
133038.047,-1.1276,0.4817,0.4780
133038.094,-0.2607,0.2314,0.0482
133038.156,-0.2546,-0.1276,-0.1825
133038.203,-1.5110,-0.1984,0.0238
133038.250,-1.8748,0.1630,0.4353
133038.297,-1.1032,0.4365,0.4341
133038.359,-0.4304,0.1960,0.0275
133038.406,-0.8761,-0.1886,-0.1862
133038.453,-1.8895,-0.1545,0.1398
133038.500,-1.8382,0.2888,0.5305
133038.547,-0.8187,0.4597,0.3645
133038.594,-0.1276,0.1154,-0.0470
133038.641,-0.5452,-0.1886,-0.1752
133038.703,-1.7210,-0.1374,0.1313
133038.750,-1.7601,0.2729,0.4927
133038.797,-0.8712,0.4231,0.3486
133038.844,-0.3913,0.0800,-0.0788
133038.891,-1.1777,-0.2411,-0.1520
133038.953,-2.0153,-0.0556,0.2717
133039.000,-1.6062,0.3950,0.5537
133039.047,-0.5794,0.4023,0.2521
133039.094,-0.0788,0.0177,-0.1142
133039.156,-0.9237,-0.2216,-0.1313
133039.203,-1.8687,-0.0470,0.2448
133039.250,-1.5659,0.3535,0.5061
133039.297,-0.6685,0.3669,0.2338
133039.359,-0.4499,-0.0201,-0.1398
133039.406,-1.4451,-0.2448,-0.0739
133039.453,-2.0421,0.0629,0.3864
133039.500,-1.3486,0.4597,0.5195
133039.547,-0.3767,0.2961,0.1178
133039.594,-0.1471,-0.0763,-0.1630
133039.641,-1.2827,-0.2228,-0.0556
133039.703,-1.9164,0.0702,0.3706
