# Chua circuit — regime 4: double_scroll
time_ms,x_V,y_V,z_V
110823.922,1.3425,0.4719,0.3962
110823.945,2.3107,0.3168,-0.0409
110823.977,2.0043,-0.1984,-0.4499
110824.008,0.7845,-0.3559,-0.2521
110824.031,-0.3645,-0.0372,0.1325
110824.062,-1.0031,0.1679,0.2460
110824.094,-0.9444,0.1520,0.1435
110824.125,-1.0739,0.0079,0.0250
110824.156,-1.4402,-0.0482,0.0739
110824.188,-1.5842,0.0849,0.2497
110824.219,-1.2888,0.2338,0.3059
110824.250,-0.9139,0.1813,0.1422
110824.273,-1.0360,-0.0189,-0.0250
110824.305,-1.5159,-0.0910,0.0531
110824.336,-1.6954,0.0995,0.2937
110824.367,-1.2436,0.2888,0.3498
110824.398,-0.7808,0.2009,0.1239
110824.422,-0.9835,-0.0690,-0.0873
110824.453,-1.6368,-0.1459,0.0336
110824.484,-1.8272,0.1129,0.3474
110824.516,-1.2143,0.3608,0.4133
110824.547,-0.6038,0.2326,0.1044
110824.578,-0.8712,-0.1252,-0.1716
110824.609,-1.7601,-0.2228,-0.0079
110824.641,-2.0214,0.1227,0.4145
110824.664,-1.1947,0.4548,0.5024
110824.695,-0.2595,0.3120,0.1569
110824.727,0.4133,0.0360,-0.0446
110824.750,0.6978,0.0397,0.0788
110824.781,1.1911,0.2436,0.2216
110824.812,1.7991,0.2753,0.0897
110824.852,1.9103,0.0397,-0.1801
110824.883,1.3632,-0.1569,-0.2070
110824.906,0.8797,-0.0177,0.0800
110824.938,1.2131,0.2961,0.2961
110824.969,1.9567,0.3400,0.1093
110824.992,2.0641,0.0128,-0.2558
110825.023,1.3022,-0.2497,-0.2814
110825.055,0.6477,-0.0495,0.1044
110825.086,1.0580,0.3657,0.3987
110825.117,2.0971,0.4353,0.1593
110825.141,2.2753,-0.0177,-0.3510
110825.180,1.2289,-0.3706,-0.3803
110825.211,0.1056,-0.1471,0.0348
110825.234,-0.8126,0.1288,0.2277
110825.266,-0.9225,0.1593,0.1630
110825.297,-1.0263,0.0324,0.0360
110825.328,-1.3803,-0.0470,0.0556
110825.359,-1.5842,0.0580,0.2204
110825.383,-1.3400,0.2143,0.3034
110825.414,-0.9591,0.1972,0.1740
110825.445,-0.9908,0.0104,-0.0043
110825.469,-1.4426,-0.0910,0.0311
110825.508,-1.6954,0.0556,0.2521
110825.539,-1.3486,0.2631,0.3547
110825.570,-0.8309,0.2277,0.1581
110825.602,-0.9212,-0.0299,-0.0665
110825.625,-1.5427,-0.1484,0.0006
110825.656,-1.8382,0.0665,0.3071
110825.688,-1.3266,0.3376,0.4243
110825.711,-0.6648,0.2668,0.1569
110825.742,-0.8089,-0.0763,-0.1471
110825.773,-1.6551,-0.2302,-0.0433
110825.805,-2.0324,0.0714,0.3645
110825.844,-1.3217,0.4280,0.5110
110825.867,-0.3974,0.3352,0.1911
110825.898,0.2082,0.0336,-0.0653
110825.930,0.0897,-0.0714,-0.0543
110825.953,-0.7369,-0.0617,0.0079
110825.984,-1.3852,-0.0055,0.1337
110826.016,-1.4377,0.1386,0.2668
110826.047,-1.1313,0.2094,0.2387
110826.078,-0.9640,0.1032,0.0812
110826.102,-1.2253,-0.0470,0.0079
110826.133,-1.5806,-0.0201,0.1447
110826.172,-1.5208,0.1679,0.3107
110826.195,-1.0800,0.2546,0.2643
110826.227,-0.8614,0.0995,0.0458
110826.258,-1.2253,-0.0958,-0.0409
110826.289,-1.7002,-0.0507,0.1484
110826.320,-1.5977,0.2021,0.3669
110826.344,-0.9957,0.3083,0.2875
110826.375,-0.7283,0.0861,-0.0055
110826.406,-1.2534,-0.1630,-0.1020
110826.430,-1.8724,-0.0800,0.1691
110826.461,-1.6697,0.2607,0.4475
110826.492,-0.8504,0.3791,0.3254
110826.531,-0.4353,0.0983,-0.0409
110826.562,-1.1020,-0.2289,-0.1911
110826.586,-1.9969,-0.1581,0.1337
110826.617,-1.8590,0.2790,0.5244
110826.648,-0.8150,0.4792,0.4206
110826.672,0.1606,0.2265,0.0714
110826.703,0.9554,0.0543,-0.0079
110826.734,1.1947,0.0922,0.0629
110826.766,1.4463,0.1716,0.0922
110826.797,1.6575,0.1422,0.0018
110826.820,1.6001,0.0287,-0.0934
110826.859,1.3327,-0.0116,-0.0519
110826.891,1.2314,0.0885,0.0824
110826.914,1.4792,0.2009,0.1203
110826.945,1.7418,0.1569,-0.0067
110826.977,1.6404,0.0018,-0.1313
110827.008,1.2717,-0.0458,-0.0690
110827.039,1.1484,0.0971,0.1129
110827.062,1.4915,0.2436,0.1618
110827.094,1.8431,0.1728,-0.0201
110827.125,1.6929,-0.0348,-0.1825
110827.148,1.1850,-0.0897,-0.0812
